薬局等番号,都道府県,市区町村_推定,薬局等名称,住所_正規化,住所,住所_都道府県除く,住所_残り,電話番号_数字,電話番号,HP,開局等時間,時間外対応,時間外対応_有無,時間外の電話番号_数字,時間外の電話番号,プライバシー確保策,事前電話連絡,事前電話連絡_要否,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,備考,削除日,データ時点,データ出典_URL,データファイル_URL,検索用
4164,神奈川県,横浜市港南区,田辺薬局港南中央店,神奈川県横浜市港南区港南中央通13-24,神奈川県横浜市港南区港南中央通１３－２４,横浜市港南区港南中央通13-24,港南中央通13-24,0458492175,0458492175,,月-水､金:09:00-19:00	木:09:00-17:00	土:09:00-14:00,有,True,08092872920,08092872920,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 横浜市港南区 田辺薬局港南中央店 神奈川県横浜市港南区港南中央通13-24 0458492175
4165,岡山県,岡山市南区,ザグザグ薬局妹尾店,岡山県岡山市南区妹尾1883-1,岡山県岡山市南区妹尾１８８３ー１,岡山市南区妹尾1883-1,妹尾1883-1,0862810102,0862810102,http://www.zagzag.co.jp/,月-金:9:00-19:00､土:9:00-13:00,有,True,09017646380,09017646380,衝立,要,True,1,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,岡山県 岡山市南区 ザグザグ薬局妹尾店 岡山県岡山市南区妹尾1883-1 0862810102 http://www.zagzag.co.jp/
4166,大阪府,富田林市,キタバ薬局向陽台店,大阪府富田林市向陽台2-1-12,大阪府富田林市向陽台２－１－１２,富田林市向陽台2-1-12,向陽台2-1-12,0721287423,0721287423,,月-金:9:00-20:00､土日祝:9:00-18:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 富田林市 キタバ薬局向陽台店 大阪府富田林市向陽台2-1-12 0721287423
4167,香川県,善通寺市,調剤薬局ハーモニー,香川県善通寺市中村町900-1,香川県善通寺市中村町９００－１,善通寺市中村町900-1,中村町900-1,0877635952,0877635952,,月曜日-土曜日:9:00-18:30,有,True,0877635952,0877635952,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,香川県 善通寺市 調剤薬局ハーモニー 香川県善通寺市中村町900-1 0877635952
4168,静岡県,沼津市,ウエルシア訪問薬局沼津,静岡県沼津市宮前町4-5,静岡県沼津市宮前町４ー５,沼津市宮前町4-5,宮前町4-5,0559556101,0559556101,https://www.welcia-yakkyoku.co.jp/,月-金:9:00-18:00,有,True,0559556101,0559556101,衝立,,False,1,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 沼津市 ウエルシア訪問薬局沼津 静岡県沼津市宮前町4-5 0559556101 https://www.welcia-yakkyoku.co.jp/
4169,大阪府,富田林市,アイン薬局富田林病院店,大阪府富田林市向陽台1丁目3-36,大阪府富田林市向陽台１丁目３－３６,富田林市向陽台1丁目3-36,向陽台1丁目3-36,0721268220,0721268220,https://store.ainj.co.jp/detail/1101376/,月8:45-18:15火8:45-18:15水8:45-18:15木8:45-18:15金8:45-18:15土8:45-13:15日8:45-16:00､定休日:第1､3､5土曜日,,False,,,個室；衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 富田林市 アイン薬局富田林病院店 大阪府富田林市向陽台1丁目3-36 0721268220 https://store.ainj.co.jp/detail/1101376/
4170,大阪府,枚方市,アカカベ薬局桜丘店,大阪府枚方市桜丘町21-10,大阪府枚方市桜丘町２１－１０,枚方市桜丘町21-10,桜丘町21-10,0728050930,0728050930,https://tenpo.akakabe.com/detail/813/,月-金:10:00-14:00､15:00-19:30､土:10:00-15:00,,False,,,他者のいない時間対応,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 枚方市 アカカベ薬局桜丘店 大阪府枚方市桜丘町21-10 0728050930 https://tenpo.akakabe.com/detail/813/
4171,三重県,津市,ウエルシア薬局津一志店,三重県津市一志町日置字貝鍋5-1,三重県津市一志町日置字貝鍋５‐１,津市一志町日置字貝鍋5-1,一志町日置字貝鍋5-1,0592951678,0592951678,https://www.welcia-yakkyoku.co.jp/,月-金10:00-14:0015:00-19:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,三重県 津市 ウエルシア薬局津一志店 三重県津市一志町日置字貝鍋5-1 0592951678 https://www.welcia-yakkyoku.co.jp/
4172,大阪府,大阪狭山市,ウエルシア薬局大阪狭山池之原店,大阪府大阪狭山市池之原2-1193,大阪府大阪狭山市池之原２ー１１９３,大阪狭山市池之原2-1193,池之原2-1193,0723601870,0723601870,https://www.welcia-yakkyoku.co.jp/,月-金9:00-19:30土9:00-18:00日9:00-14:00祝9:00-14:0015:00-18:00,,False,,,衝立,,False,2,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大阪狭山市 ウエルシア薬局大阪狭山池之原店 大阪府大阪狭山市池之原2-1193 0723601870 https://www.welcia-yakkyoku.co.jp/
4173,静岡県,島田市,ウエルシア薬局島田井口店,静岡県島田市井口1121,静岡県島田市井口１１２１,島田市井口1121,井口1121,0547305151,0547305151,https://www.welcia-yakkyoku.co.jp/,"月-金:9:00-13:00,14:00-19:00,土:9:00-13:00,14:00-17:00",,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 島田市 ウエルシア薬局島田井口店 静岡県島田市井口1121 0547305151 https://www.welcia-yakkyoku.co.jp/
4174,三重県,伊勢市,ウエルシア薬局イオンタウン伊勢ララパーク店,三重県伊勢市小木町538,三重県伊勢市小木町５３８,伊勢市小木町538,小木町538,0596636452,0596636452,https://www.welcia-yakkyoku.co.jp/,月-金:10:00-14:00/15:00-19:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,三重県 伊勢市 ウエルシア薬局イオンタウン伊勢ララパーク店 三重県伊勢市小木町538 0596636452 https://www.welcia-yakkyoku.co.jp/
4175,兵庫県,姫路市,ウエルシア薬局姫路宮西店,兵庫県姫路市宮西町4-36,兵庫県姫路市宮西町４－３６,姫路市宮西町4-36,宮西町4-36,0792870225,0792870225,https://www.welcia-yakkyoku.co.jp/,月-土:10:00-14:0015:00-19:00,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 姫路市 ウエルシア薬局姫路宮西店 兵庫県姫路市宮西町4-36 0792870225 https://www.welcia-yakkyoku.co.jp/
4176,大阪府,大東市,アカカベ薬局津の辺店,大阪府大東市明美の里町1-70,大阪府大東市明美の里町１－７０,大東市明美の里町1-70,明美の里町1-70,0728790930,0728790930,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=27&kikanCd=9000003421&kikanKbn=5,月-金:9:30-19:00､土:9:30-15:00,,False,,,衝立；他者のいない時間対応,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大東市 アカカベ薬局津の辺店 大阪府大東市明美の里町1-70 0728790930 https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=27&kikanCd=9000003421&kikanKbn=5
4177,静岡県,賀茂郡西伊豆町,ウエルシア薬局西伊豆仁科店,静岡県賀茂郡西伊豆町仁科320,静岡県賀茂郡西伊豆町仁科３２０,賀茂郡西伊豆町仁科320,仁科320,0558525002,0558525002,https://www.welcia-yakkyoku.co.jp/,月-金:10:00-13:00､14:00-19:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,静岡県 賀茂郡西伊豆町 ウエルシア薬局西伊豆仁科店 静岡県賀茂郡西伊豆町仁科320 0558525002 https://www.welcia-yakkyoku.co.jp/
4178,広島県,福山市,ファーマシィ薬局みのみ,広島県福山市水呑町1957番地2,広島県福山市水呑町１９５７番地２,福山市水呑町1957番地2,水呑町1957番地2,0849205070,0849205070,https://www.pharmacy-net.co.jp/store/1084.html,月-水､金:9:00-18:30､木:9:00-18:00､土:9:00-13:00,有,True,0849205070,0849205070,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 福山市 ファーマシィ薬局みのみ 広島県福山市水呑町1957番地2 0849205070 https://www.pharmacy-net.co.jp/store/1084.html
4179,大阪府,枚方市,アカカベ香里薬局,大阪府枚方市東香里南町3番12号,大阪府枚方市東香里南町３番１２号,枚方市東香里南町3番12号,東香里南町3番12号,0728543193,0728543193,https://tenpo.akakabe.com/detail/832/,月-金:9:30-19:30､土:9:00-15:00,,False,,,衝立；他者のいない時間対応,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 枚方市 アカカベ香里薬局 大阪府枚方市東香里南町3番12号 0728543193 https://tenpo.akakabe.com/detail/832/
4180,大阪府,箕面市,ウエルシア薬局箕面牧落店,大阪府箕面市牧落3-1-12,大阪府箕面市牧落３－１－１２,箕面市牧落3-1-12,牧落3-1-12,0727205292,0727205292,,月-金:9:00-20:00､土､日､祝:9:00-14:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 箕面市 ウエルシア薬局箕面牧落店 大阪府箕面市牧落3-1-12 0727205292
4181,大阪府,枚方市,アカカベ薬局星丘店,大阪府枚方市星丘3-6-35,大阪府枚方市星丘３－６－３５,枚方市星丘3-6-35,星丘3-6-35,0728981157,0728981157,,月･火･水･金:9:00-19:00､木:9:00-17:00､土:9:00-12:00,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 枚方市 アカカベ薬局星丘店 大阪府枚方市星丘3-6-35 0728981157
4182,宮崎県,小林市,アイン薬局こばやし中央店,宮崎県小林市細野160-5,宮崎県小林市細野１６０－５,小林市細野160-5,細野160-5,0984223442,0984223442,https://store.ainj.co.jp/detail/1100172/,月-金:8:30-17:30､土:8:30-12:30,有,True,0984223442,0984223442,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮崎県 小林市 アイン薬局こばやし中央店 宮崎県小林市細野160-5 0984223442 https://store.ainj.co.jp/detail/1100172/
4183,東京都,西東京市,アイン薬局武蔵野店,東京都西東京市向台町4丁目21-12,東京都西東京市向台町４丁目２１－１２,西東京市向台町4丁目21-12,向台町4丁目21-12,0424529873,0424529873,https://store.ainj.co.jp/detail/1101145/,月-金:9:00-19:00､土:9:00-17:00,有,True,0424529873,0424529873,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 西東京市 アイン薬局武蔵野店 東京都西東京市向台町4丁目21-12 0424529873 store.ainj.co.jp/detail/1101145/
4184,香川県,丸亀市,エス・アイ薬局,香川県丸亀市福島町162,香川県丸亀市福島町１６２,丸亀市福島町162,福島町162,0877359133,0877359133,https://https//:chozai.com,月火水金土:8:30-18:00木:8:30-16:30,有,True,0877359133,0877359133,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,香川県 丸亀市 エス・アイ薬局 香川県丸亀市福島町162 0877359133 https//:chozai.com
4185,香川県,観音寺市,ファーマシィ薬局観音寺第2,香川県観音寺市植田町1930番地,香川県観音寺市植田町１９３０番地,観音寺市植田町1930番地,植田町1930番地,0875576120,0875576120,https://www.pharmacy-net.co.jp/store/1090.html,月-土:8:00-18:30,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,香川県 観音寺市 ファーマシィ薬局観音寺第2 香川県観音寺市植田町1930番地 0875576120 https://www.pharmacy-net.co.jp/store/1090.html
4186,三重県,津市,ウエルシア薬局イオンタウン津城山店,三重県津市久居小野辺町1130-7,三重県津市久居小野辺町１１３０ー７,津市久居小野辺町1130-7,久居小野辺町1130-7,0592538243,0592538243,https://store.welcia.co.jp/welcia/spot/detail?code=6857D,月-土:9:00ｰ19:00,,False,,,衝立,,False,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,三重県 津市 ウエルシア薬局イオンタウン津城山店 三重県津市久居小野辺町1130-7 0592538243 https://store.welcia.co.jp/welcia/spot/detail?code=6857D
4187,神奈川県,横須賀市,ハックドラッグ横須賀中央薬局,神奈川県横須賀市若松町2-4田丸屋ビル内,神奈川県横須賀市若松町２ー４田丸屋ビル内,横須賀市若松町2-4田丸屋ビル内,若松町2-4田丸屋ビル内,0468278912,0468278912,https://www.welcia-yakkyoku.co.jp/,月-金:9:00-20:00､土:9:00-19:00､日･祝:10:00-19:00,有,True,0468278912,0468278912,衝立,,False,3,5,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 横須賀市 ハックドラッグ横須賀中央薬局 神奈川県横須賀市若松町2-4田丸屋ビル内 0468278912 https://www.welcia-yakkyoku.co.jp/
4188,佐賀県,佐賀市,神代薬局北部バイパス店,佐賀県佐賀市若宮3丁目1-22,佐賀県佐賀市若宮３丁目１－２２,佐賀市若宮3丁目1-22,若宮3丁目1-22,0952344666,0952344666,https://www.kumashiro-p.co.jp/,月･火･水･金:9:00-18:00､木:9:00-17:00､土:9:00-13:00,有,True,09053851513,09053851513,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,佐賀県 佐賀市 神代薬局北部バイパス店 佐賀県佐賀市若宮3丁目1-22 0952344666 https://www.kumashiro-p.co.jp/
4189,神奈川県,座間市,ウエルシア薬局座間入谷店,神奈川県座間市入谷西4-6-5,神奈川県座間市入谷西４－６－５,座間市入谷西4-6-5,入谷西4-6-5,0462565303,0462565303,https://store.welcia.co.jp/welcia/spot/detail?code=7126D,月-金:10:00‐13:30､14:30‐20:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 座間市 ウエルシア薬局座間入谷店 神奈川県座間市入谷西4-6-5 0462565303 https://store.welcia.co.jp/welcia/spot/detail?code=7126D
4190,神奈川県,横浜市中区,ハックドラッグベイタウン本牧５番街薬局,神奈川県横浜市中区本牧原12ベイタウン本牧5-1階,神奈川県横浜市中区本牧原１２ベイタウン本牧５ー１階,横浜市中区本牧原12ベイタウン本牧5-1階,本牧原12ベイタウン本牧5-1階,0456290890,0456290890,https://www.welcia-yakyoku-co.jp,月-土:10:00-14:00､15:00-19:00,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,神奈川県 横浜市中区 ハックドラッグベイタウン本牧５番街薬局 神奈川県横浜市中区本牧原12ベイタウン本牧5-1階 0456290890 https://www.welcia-yakyoku-co.jp
4191,愛知県,名古屋市西区,なのはな薬局,愛知県名古屋市西区城西4-32-6ソフィス城西1階,愛知県名古屋市西区城西４－３２－６ソフィス城西１階,名古屋市西区城西4-32-6ソフィス城西1階,城西4-32-6ソフィス城西1階,0523257779,0523257779,https://kikyou-pharmacy.com/,月-金:09:00-13:00､14:00-19:00､土:09:00-12:30,,False,,,他者のいない時間対応,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,愛知県 名古屋市西区 なのはな薬局 愛知県名古屋市西区城西4-32-6ソフィス城西1階 0523257779 https://kikyou-pharmacy.com/
4192,宮崎県,都城市,そうごう薬局上川東店,宮崎県都城市上川東1丁目27-6-2,宮崎県都城市上川東１丁目２７－６－２,都城市上川東1丁目27-6-2,上川東1丁目27-6-2,0986366801,0986366801,https://shop.sogo-pharmacy.jp/detail/505/,月･火･木･金:9:00-18:00､水:9:00-17:00､土:9:00-13:00,有,True,0986366801,0986366801,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮崎県 都城市 そうごう薬局上川東店 宮崎県都城市上川東1丁目27-6-2 0986366801 https://shop.sogo-pharmacy.jp/detail/505/
4193,愛知県,名古屋市南区,ウエルシア薬局名古屋大同店,愛知県名古屋市南区滝春町1-80,愛知県名古屋市南区滝春町１－８０,名古屋市南区滝春町1-80,滝春町1-80,0526182603,0526182603,https://store.welcia.co.jp/welcia/spot/detail?code=7354D,月-金:9:00-14:00､15:00-19:00土:9:00-13:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,愛知県 名古屋市南区 ウエルシア薬局名古屋大同店 愛知県名古屋市南区滝春町1-80 0526182603 https://store.welcia.co.jp/welcia/spot/detail?code=7354D
4194,東京都,青梅市,ウエルシア薬局ラーレ青梅新町店,東京都青梅市新町9-2016-14,東京都青梅市新町９ー２０１６ー１４,青梅市新町9-2016-14,新町9-2016-14,0428303321,0428303321,https://www.welcia-yakkyoku.co.jp/,月-土:10:00-23:00､日祝:10:00-19:00,有,True,0428303321,0428303321,衝立,,False,3,3,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 青梅市 ウエルシア薬局ラーレ青梅新町店 東京都青梅市新町9-2016-14 0428303321 https://www.welcia-yakkyoku.co.jp/
4195,兵庫県,南あわじ市,ウエルシア薬局南あわじ広田店,兵庫県南あわじ市広田広田525番地1,兵庫県南あわじ市広田広田５２５番地１,南あわじ市広田広田525番地1,広田広田525番地1,0799442581,0799442581,https://store.welcia.co.jp/welcia/spot/detail?code=6755D&category=01,月-金:10:00ｰ14:00､15:00ｰ19:00,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 南あわじ市 ウエルシア薬局南あわじ広田店 兵庫県南あわじ市広田広田525番地1 0799442581 https://store.welcia.co.jp/welcia/spot/detail?code=6755D&category=01
4196,東京都,板橋区,ウエルシア薬局板橋下板橋店,東京都板橋区板橋1-6-5,東京都板橋区板橋１－６－５,板橋区板橋1-6-5,板橋1-6-5,0335798833,0335798833,,月-金:9:00-16:30,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 板橋区 ウエルシア薬局板橋下板橋店 東京都板橋区板橋1-6-5 0335798833
4197,新潟県,新発田市,あい薬局住吉町店,新潟県新発田市住吉町2-3-16,新潟県新発田市住吉町２－３－１６,新発田市住吉町2-3-16,住吉町2-3-16,0254268511,0254268511,http://www.qol-net.co.jp,月火木金:8:30-18:00､水:8:30-16:30､土:8:30-12:30,有,True,025268511,025268511,衝立；他者のいない時間対応,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 新発田市 あい薬局住吉町店 新潟県新発田市住吉町2-3-16 0254268511 http://www.qol-net.co.jp
4198,東京都,千代田区,アイン薬局大手町店,東京都千代田区大手町1-9-7大手町フィナンシャルシティサウスタワ-1階,東京都千代田区大手町１－９－７大手町フィナンシャルシティサウスタワー１階,千代田区大手町1-9-7大手町フィナンシャルシティサウスタワ-1階,大手町1-9-7大手町フィナンシャルシティサウスタワ-1階,0335106318,0335106318,,月-金:9:00-18:30土:9:00-15:00,,False,,,他者と十分な距離の確保,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 千代田区 アイン薬局大手町店 東京都千代田区大手町1-9-7大手町フィナンシャルシティサウスタワ-1階 0335106318
4199,大阪府,大東市,アカカベ薬局野崎店,大阪府大東市北条1丁目13-29,大阪府大東市北条１丁目１３－２９,大東市北条1丁目13-29,北条1丁目13-29,0728630931,0728630931,,月-金:10:00-19:30､土:10:00-15:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 大東市 アカカベ薬局野崎店 大阪府大東市北条1丁目13-29 0728630931
4200,大阪府,枚方市,ウシオ薬局,大阪府枚方市招提元町1-36-3,大阪府枚方市招提元町１－３６－３,枚方市招提元町1-36-3,招提元町1-36-3,0728098808,0728098808,,月､火､金は､9時から17時｡水､木曜は､9時から19時｡土曜は､9時から12時,,False,,,衝立；他者のいない時間対応,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 枚方市 ウシオ薬局 大阪府枚方市招提元町1-36-3 0728098808
4201,岡山県,倉敷市,虹の薬局ちどり店,岡山県倉敷市水島西千鳥町3-21ノバシティ第1ビル1階,岡山県倉敷市水島西千鳥町３－２１ノバシティ第１ビル１階,倉敷市水島西千鳥町3-21ノバシティ第1ビル1階,水島西千鳥町3-21ノバシティ第1ビル1階,0864484855,0864484855,https://www.niji-ph.com/shops/chidori/,平日:8:30-17:00土:8:30-13:00,有,True,08062459355,08062459355,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,岡山県 倉敷市 虹の薬局ちどり店 岡山県倉敷市水島西千鳥町3-21ノバシティ第1ビル1階 0864484855 https://www.niji-ph.com/shops/chidori/
4202,東京都,新宿区,ウエルシア薬局新宿目白店,東京都新宿区下落合3-12-28,東京都新宿区下落合３－１２－２８,新宿区下落合3-12-28,下落合3-12-28,0359887614,0359887614,https://www.welcia-yakkyoku.co.jp/,月-金10:00-14:00､15:00-19:00土:10:00-14:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,東京都 新宿区 ウエルシア薬局新宿目白店 東京都新宿区下落合3-12-28 0359887614 https://www.welcia-yakkyoku.co.jp/
4203,香川県,丸亀市,アイン薬局城坤店,香川県丸亀市津森町594-3,香川県丸亀市津森町５９４－３,丸亀市津森町594-3,津森町594-3,0877857116,0877857116,,月-土:9:00-18:00,有,True,0877857116,0877857116,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,香川県 丸亀市 アイン薬局城坤店 香川県丸亀市津森町594-3 0877857116
4204,新潟県,三条市,イオン薬局三条須頃店,新潟県三条市上須頃5009-4,新潟県三条市上須頃５００９－４,三条市上須頃5009-4,上須頃5009-4,0256468321,0256468321,,月-日､祝日:9:00-19:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 三条市 イオン薬局三条須頃店 新潟県三条市上須頃5009-4 0256468321
4205,三重県,三重県松阪市,ウエルシア薬局松阪下村店,三重県三重県松阪市下村町862-2,三重県三重県松阪市下村町８６２－２,三重県松阪市下村町862-2,下村町862-2,0598602872,0598602872,https://www.welcia-yakkyoku.co.jp,月-金10:00-14:0015:00-19:00,,False,,,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,三重県 三重県松阪市 ウエルシア薬局松阪下村店 三重県三重県松阪市下村町862-2 0598602872 https://www.welcia-yakkyoku.co.jp
4206,三重県,松阪市,イオン薬局松阪船江店,三重県松阪市船江町1392-27,三重県松阪市船江町１３９２－２７,松阪市船江町1392-27,船江町1392-27,0598521920,0598521920,https://www.aeonretail.jp/syohousen/,月-金:9:00-20:00､土:9:00-19:00､日祝:9:00-13:00､14:00-18:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,三重県 松阪市 イオン薬局松阪船江店 三重県松阪市船江町1392-27 0598521920 https://www.aeonretail.jp/syohousen/
4207,宮崎県,小林市,保険調剤薬局つつみ,宮崎県小林市堤3026-6,宮崎県小林市堤３０２６ー６,小林市堤3026-6,堤3026-6,0984251770,0984251770,https://www.e-classa.net/tsutsumi-kobayashi,月-金:8:30-18:00､土:8:30-13:00､日祝:休み,有,True,0984251770,0984251770,個室,要,True,,4,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮崎県 小林市 保険調剤薬局つつみ 宮崎県小林市堤3026-6 0984251770 https://www.e-classa.net/tsutsumi-kobayashi
